task,status
300116,QueryStatus.SUCCESSED
300155,QueryStatus.SUCCESSED
300947,QueryStatus.SUCCESSED
300876,QueryStatus.SUCCESSED
300991,QueryStatus.SUCCESSED
300732,QueryStatus.SUCCESSED
688183,QueryStatus.SUCCESSED
300506,QueryStatus.SUCCESSED
301538,QueryStatus.EMPTY
300175,QueryStatus.SUCCESSED
300779,QueryStatus.SUCCESSED
300536,QueryStatus.SUCCESSED
300542,QueryStatus.SUCCESSED
300268,QueryStatus.SUCCESSED
300563,QueryStatus.SUCCESSED
300836,QueryStatus.SUCCESSED
300917,QueryStatus.SUCCESSED
300083,QueryStatus.SUCCESSED
300649,QueryStatus.SUCCESSED
300295,QueryStatus.SUCCESSED
002470,QueryStatus.SUCCESSED
300844,QueryStatus.SUCCESSED
002146,QueryStatus.SUCCESSED
002188,QueryStatus.SUCCESSED
603316,QueryStatus.SUCCESSED
600889,QueryStatus.SUCCESSED
603682,QueryStatus.SUCCESSED
603389,QueryStatus.SUCCESSED
002047,QueryStatus.SUCCESSED
002789,QueryStatus.SUCCESSED
000819,QueryStatus.SUCCESSED
603950,QueryStatus.SUCCESSED
603506,QueryStatus.SUCCESSED
002208,QueryStatus.SUCCESSED
600749,QueryStatus.SUCCESSED
001322,QueryStatus.SUCCESSED
603125,QueryStatus.SUCCESSED
603737,QueryStatus.SUCCESSED
600280,QueryStatus.SUCCESSED
002888,QueryStatus.SUCCESSED
002264,QueryStatus.SUCCESSED
605286,QueryStatus.SUCCESSED
002410,QueryStatus.SUCCESSED
601456,QueryStatus.SUCCESSED
002244,QueryStatus.SUCCESSED
605303,QueryStatus.SUCCESSED
603042,QueryStatus.SUCCESSED
000560,QueryStatus.SUCCESSED
603378,QueryStatus.SUCCESSED
000670,QueryStatus.SUCCESSED
600239,QueryStatus.SUCCESSED
002305,QueryStatus.SUCCESSED
600665,QueryStatus.SUCCESSED
002285,QueryStatus.SUCCESSED
002596,QueryStatus.SUCCESSED
300043,QueryStatus.SUCCESSED
000766,QueryStatus.SUCCESSED
000938,QueryStatus.SUCCESSED
002647,QueryStatus.SUCCESSED
600321,QueryStatus.SUCCESSED
001267,QueryStatus.SUCCESSED
300621,QueryStatus.SUCCESSED
300737,QueryStatus.SUCCESSED
300752,QueryStatus.SUCCESSED
603801,QueryStatus.SUCCESSED
300500,QueryStatus.SUCCESSED
301429,QueryStatus.EMPTY
300689,QueryStatus.SUCCESSED
300368,QueryStatus.SUCCESSED
300107,QueryStatus.SUCCESSED
688288,QueryStatus.SUCCESSED
301202,QueryStatus.EMPTY
603823,QueryStatus.SUCCESSED
688668,QueryStatus.SUCCESSED
002343,QueryStatus.SUCCESSED
002075,QueryStatus.SUCCESSED
600649,QueryStatus.SUCCESSED
